what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855210640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855254789
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1399855310437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1399855315810
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1399855323305
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1399855327887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855329311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855329663
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855335509
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855339094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855352790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855393695
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855395287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855395448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855402660
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855402878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399855406381
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855418885
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855424898
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855425001
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399855429330
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855429330
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855430813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399855448694
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1399855451454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855487436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855488535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855511460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855513026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399855515717
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855558054
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399855558507
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1399855558581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855569993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855738384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855776721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855780822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855787856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1399855805051
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1399855806521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1399855808025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855814168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855821088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855826141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855826251
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399855830590
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855839754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855858312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855861629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1399855861638
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855863950
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855864063
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855865084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399855867947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855868388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855872217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855872225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855872754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855873894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855882284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855903841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1399855903854
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855904210
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855904333
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855906512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855906588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855908427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399855911525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855914399
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855916856
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399855919391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855919537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399855921901
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855923748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399855928142
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855929746
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1399855929747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399855932700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399855935012
